In the game ‘Metal Gear Solid’, who is the twin brother of Solid Snake?;Liquid Snake;Solid Snake;Big Boss;Revolver Ocelot
In the game ‘Mortal Kombat’, what phrase is heard when Scorpion uses his spear?;Get over here;It has begun;You will be next;Your soul is mine
How many rows of aliens are there usually at the start of a ‘Space Invaders’ game?;Five;Six;Seven;Four
How many square blocks is each game piece composed of in the game of ‘Tetris’?;Four;Five;Three;Six
In the game ‘Doom’, which planet is the space marine posted to after assaulting his commanding officer?;Mars;Mercury;Earth;Pluto
In the computer game ‘The Sims’, how many Simoleons does each family start the game with?;20000;10000;15000;5000
Which game, released in 2003, was banned by several countries and implicated by the media in a murder, due to its graphic violence?;Manhunt;Grand Theft Auto;Bully;Red Dead Redemption
Slade, Reese, Jericho and Roland Kane are all characters in which game?;Turok;Gears of War;Final Fantasy VII;Devil May Cry
In video games, what colour is Pac-Man?;Yellow;Green;Pink;Blue
‘Black Ops’ is the subtitle of which game?;Call of Duty;Battlefield;Rainbow Six;Quake
Pikachu is one of the species of creatures in which series of games?;Pokemon;Digimon;Yu-Gi-Oh;Monster Hunter
The Covenant are fictional military alien races in which game series?;Halo;Call of Duty;Dead Space;Planetside
